LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Individual Female,LABRADOODLE,BROWN,ZOEY,15101,2017,9/15/2017 13:48
Dog Individual Spayed Female,BICHON FRISE,WHITE,CHLOE,15090,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BLACK/BROWN,CHALUPA,15120,2017,3/23/2017 14:32
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK/BROWN,TOBY,15235,2017,7/5/2017 13:27
Dog Senior Citizen or Disability Spayed Female,YORKSHIRE TERRIER,BLACK/SILVER,LIL DIVA,15235,2017,4/25/2017 15:02
Dog Individual Spayed Female,MIN PINSCHER,BLACK/TAN,MANDY,15218,2017,5/9/2017 16:32
Dog Individual Female,MIXED,WHITE/BRINDLE,STARR,15133,2017,6/5/2017 8:57
Dog Individual Spayed Female,LAB MIX,YELLOW,MIA,15133,2017,2/28/2017 10:59
Dog Individual Male,DACHSHUND,BLACK/BROWN/GREY,CODY,15108,2017,2/9/2017 13:40
Dog Individual Spayed Female,DACHSHUND,BLACK,SOPHIE,15108,2017,2/9/2017 13:40
Dog Senior Citizen or Disability Neutered Male,TERRIER,SPOTTED,MAX,15228,2017,1/4/2017 15:49
Dog Individual Female,GREAT PYRENEES,WHITE,BELLE,15133,2017,6/19/2017 11:59
Dog Individual Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
Dog Individual Spayed Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
Dog Individual Female,MOUNTAIN CUR,BRINDLE,NUTMEG,15239,2017,7/31/2017 10:19
Dog Individual Neutered Male,BRITTANY SPANIEL,SPOTTED,JACKSON BELL,15227,2017,4/7/2017 14:18
Dog Individual Spayed Female,GER SHEPHERD,BLACK/TAN,ARWEN,15122,2017,1/3/2017 13:12
Dog Individual Spayed Female,SCHNOODLE,GREY,RILEY,15202,2017,1/4/2017 8:39
